Latitude,Longitude,Height (m),Data Rate (kbpms)
48.18183,11.613804,16.8,32.848
48.18183,11.613804,16.7,4.112
48.18183,11.613804,16.6,5.656
48.18183,11.613804,16.4,0.632
48.18183,11.613804,16.3,5.472
48.18183,11.613804,16.2,41.08
48.18183,11.613804,16.2,6.904
48.18183,11.613804,16.1,4.248
48.18183,11.613804,16,39.496
48.18183,11.613804,15.9,0
48.18183,11.613804,15.8,61.144
48.18183,11.613804,15.7,0
48.18183,11.613804,15.6,0
48.18183,11.613804,15.5,0
48.18183,11.613804,15.4,0
48.18183,11.613804,15.3,90.648
48.18183,11.613804,15.2,0
48.181831,11.613804,15.2,1.184
48.181831,11.613804,15.1,0
48.18183,11.613804,15,0
48.18183,11.613804,14.9,12.112
48.18183,11.613804,14.8,0
48.181831,11.613804,14.7,0
48.181831,11.613804,14.6,0
48.181831,11.613804,14.5,0
48.181831,11.613804,14.4,0
48.181831,11.613804,14.3,0
48.181831,11.613805,14.3,0
48.181831,11.613805,14.2,86.496
48.181831,11.613805,14.1,0
48.181831,11.613805,14,86.896
48.181831,11.613805,13.9,0
48.181831,11.613805,13.8,0
48.181831,11.613805,13.7,121.864
48.181831,11.613805,13.6,0
48.181831,11.613805,13.5,0
48.181831,11.613804,13.4,0
48.181831,11.613805,13.3,0.728
48.181831,11.613805,13.2,12.112
48.181831,11.613805,13.1,0
48.181831,11.613805,13,84.784
48.181831,11.613805,12.9,0
48.181831,11.613805,12.8,0
48.181831,11.613805,12.7,91.008
48.181832,11.613805,12.6,0
48.181831,11.613805,12.5,12.112
48.181831,11.613805,12.4,66.304
48.181831,11.613805,12.3,0
48.181831,11.613805,12.3,89.704
48.181832,11.613805,12.2,0
48.181832,11.613805,12.1,85.472
48.181832,11.613805,12,122.656
48.181832,11.613805,11.9,0
48.181832,11.613805,11.8,136.576
48.181832,11.613805,11.7,0
48.181832,11.613805,11.6,12.112
48.181832,11.613805,11.5,1.4
48.181832,11.613805,11.4,0
